Farenheit,Farenheit,Farenheit,Farenheit,Farenheit
55.09351978,52.03290872,61.85029991,61.21767098,59.01977445
59.74674582,58.61767808,57.0465133,58.92231359,52.02828755
56.63802518,53.03930073,55.67886038,53.55160566,55.5722632
54.96788986,56.4134651,61.59560395,59.36554515,57.94119973
57.19374978,54.14329995,60.26440143,59.65763715,52.73166378
57.25198097,55.36750167,58.65662155,54.96490945,56.72550868
58.58501408,54.65427816,53.98452184,60.91745531,57.14960494
55.96425447,55.17953188,60.46973423,60.63760757,59.82012375
53.93346307,54.18907513,57.47975159,52.66267466,52.70771202
53.48920344,53.43959001,55.37389829,53.48972891,57.44012504
61.4809623,57.74665153,60.85010566,58.51292519,54.06475226
